max_depth	min_split	ganancia_promedio
5	900	10166667
5	900	9583333
5	900	9706667
5	900	9710000
5	900	10003333
5	900	10003333
5	900	8416667
5	900	8330000
5	900	8330000
5	850	10166667
5	850	9583333
5	850	9706667
5	850	9710000
5	850	10003333
5	850	10003333
5	850	8416667
5	850	8240000
5	850	8263333
5	700	10166667
5	700	9083333
5	700	9230000
5	700	9233333
5	700	9353333
5	700	9373333
5	700	8390000
5	700	8440000
5	700	8453333
5	650	10166667
5	650	9083333
5	650	9230000
5	650	9233333
5	650	9353333
5	650	9373333
5	650	8390000
5	650	8440000
5	650	8453333
5	550	10166667
5	550	9083333
5	550	9230000
5	550	9233333
5	550	9353333
5	550	9373333
5	550	8390000
5	550	8440000
5	550	8453333
5	400	10166667
5	400	9083333
5	400	9230000
5	400	8886667
5	400	9050000
5	400	9070000
5	400	8310000
5	400	8440000
5	400	8453333
5	250	10166667
5	250	9083333
5	250	9230000
5	250	8886667
5	250	9050000
5	250	9070000
5	250	8310000
5	250	8440000
5	250	8453333
5	100	10166667
5	100	9083333
5	100	9230000
5	100	8886667
5	100	9050000
5	100	9070000
5	100	8493333
5	100	8623333
5	100	8636667
5	60	10166667
5	60	9083333
5	60	9230000
5	60	8886667
5	60	9050000
5	60	9070000
5	60	8493333
5	60	8623333
5	60	8580000
6	900	9450000
6	900	8646667
6	900	9583333
6	900	9793333
6	900	10310000
6	900	10196667
6	900	9056667
6	900	9080000
6	900	9106667
6	850	9450000
6	850	8646667
6	850	9583333
6	850	9793333
6	850	10173333
6	850	10230000
6	850	9093333
6	850	8866667
6	850	8856667
6	700	9450000
6	700	8146667
6	700	9106667
6	700	9316667
6	700	9523333
6	700	9600000
6	700	9066667
6	700	9066667
6	700	9046667
6	650	9450000
6	650	8146667
6	650	9106667
6	650	9316667
6	650	9523333
6	650	9600000
6	650	9066667
6	650	9066667
6	650	9046667
6	550	9450000
6	550	8146667
6	550	9106667
6	550	9316667
6	550	9523333
6	550	9600000
6	550	8800000
6	550	8800000
6	550	8780000
6	400	9450000
6	400	8146667
6	400	9106667
6	400	8970000
6	400	9220000
6	400	9296667
6	400	8423333
6	400	8506667
6	400	8610000
6	250	9450000
6	250	8146667
6	250	9106667
6	250	8970000
6	250	9220000
6	250	9446667
6	250	8266667
6	250	8183333
6	250	8443333
6	100	9450000
6	100	8146667
6	100	9106667
6	100	8970000
6	100	9220000
6	100	9596667
6	100	8450000
6	100	8283333
6	100	8626667
6	60	9450000
6	60	8146667
6	60	9106667
6	60	8970000
6	60	9220000
6	60	9596667
6	60	8450000
6	60	8283333
6	60	8570000
7	900	9210000
7	900	7183333
7	900	9583333
7	900	9793333
7	900	10590000
7	900	10603333
7	900	9483333
7	900	9296667
7	900	8773333
7	850	9210000
7	850	7183333
7	850	9583333
7	850	9793333
7	850	10346667
7	850	10530000
7	850	9273333
7	850	8836667
7	850	8310000
7	700	9210000
7	700	6406667
7	700	8723333
7	700	8980000
7	700	9696667
7	700	9450000
