Feature	Gain	Cover	Frequency
ctrx_quarter	0.14169446603591	0.0305220714013499	0.0217939113260233
mpasivos_margen	0.110949469263732	0.0288353631337319	0.0286726145882994
cpayroll_trx	0.0891972425813202	0.0379254630026486	0.0108288496901178
mpayroll	0.0689175145982318	0.0528608090837295	0.0215895934073418
mcaja_ahorro	0.0639271608170131	0.0204004534589412	0.0260845876183341
mtarjeta_visa_consumo	0.057163597222439	0.0212259368801924	0.0179118708710754
Visa_msaldopesos	0.0475482163299754	0.0248625112240121	0.0220663352175986
mcuentas_saldo	0.0405615531758611	0.0379849248777368	0.0392290403868419
mactivos_margen	0.0291804529791077	0.0353637798691508	0.0318054893414152
mprestamos_personales	0.0277846030556661	0.0317648504675478	0.0146427841721719
ctarjeta_visa_trx	0.0213675881886585	0.020731841867632	0.0202955799223592
mrentabilidad_annual	0.0209001111040035	0.0222444812398068	0.0343935163113805
Visa_msaldototal	0.0143882652537444	0.013755763390566	0.0152557379282163
Visa_mpagominimo	0.0111588781258581	0.0124343030036988	0.0157324797384731
mcuenta_corriente	0.0109127491977044	0.0129347104004667	0.0186610365729074
cliente_edad	0.0102659439416163	0.0211163072335961	0.0277191309677859
cprestamos_personales	0.0100030823681223	0.00809875757242774	0.00469931212967377
Visa_fechaalta	0.0095760838708774	0.0160427186249231	0.0260845876183341
Master_fechaalta	0.00906215348406001	0.0281524200131381	0.0275829190219982
mrentabilidad	0.00892692495337403	0.0137581805240219	0.0216576993802356
cproductos	0.00800997208744321	0.0141463999942585	0.0134168766600831
chomebanking_trx	0.00787931414105038	0.0155986600392305	0.0211128515970851
mcomisiones_otras	0.00765839860353419	0.0127227534772038	0.0172308111421372
Master_Fvencimiento	0.00764112498160974	0.0187485789661631	0.0241095144044133
ccomisiones_otras	0.00762587575118771	0.0233549609665587	0.0177756589252878
thomebanking	0.00738080728103736	0.00731624345224669	0.00864945855751549
Visa_mpagospesos	0.0073806967328203	0.010748457297898	0.0163454334945175
mcomisiones	0.00688425296015074	0.0095689608635649	0.0165497514131989
numero_de_cliente	0.00575498387706133	0.010598565618117	0.0193420963018457
mcaja_ahorro_dolares	0.00564780078251615	0.0200848224863561	0.0219982292447048
cliente_antiguedad	0.00540676340387738	0.0107376850770221	0.0169583872505619
Visa_Fvencimiento	0.00535623938653435	0.00920184671270056	0.016141115575836
mcomisiones_mantenimiento	0.00508372990206226	0.00566474731044747	0.0101477899611796
mautoservicio	0.00477174845365159	0.0155700837583007	0.019614520193421
tcallcenter	0.00472892303335311	0.0110953424137817	0.00531226588571818
Master_mfinanciacion_limite	0.00425290847766675	0.00858008863046154	0.0149152080637472
ccallcenter_trx	0.00423064333827537	0.0144865139998772	0.00531226588571818
mdescubierto_preacordado	0.00413648507665186	0.0105694561171548	0.00435878226520466
ccaja_ahorro	0.00411537796663429	0.0260060153061555	0.00824082272015256
Visa_madelantodolares	0.00406450018117841	0.000312459097539171	6.81059728938228e-05
Master_mpagominimo	0.00391114615973933	0.0100498331955414	0.00783218688278962
Visa_mconsumospesos	0.0037338410013475	0.00768559830346794	0.0149152080637472
ctarjeta_debito_trx	0.0035760443257774	0.009289645703851	0.0153238439011101
Master_mlimitecompra	0.00319864462996638	0.00627560182717019	0.0102158959340734
Visa_mconsumototal	0.00318308418949075	0.00363924436471751	0.00701491520806375
mtransferencias_recibidas	0.00317676073260604	0.00688225527576967	0.0116461213648437
ccomisiones_mantenimiento	0.00306909587343771	0.00189376035072955	0.00415446434652319
ctransferencias_recibidas	0.00300604691946517	0.0116732862764433	0.00864945855751549
ctarjeta_master	0.00279738598928007	0.00141845742357721	0.00197507321392086
mtransferencias_emitidas	0.0026960887032175	0.00759160258980814	0.0111012735816931
ccajas_consultas	0.00263755700059423	0.0154592484855282	0.00347340461758496
ccuenta_debitos_automaticos	0.00259394510714609	0.0119813482690826	0.00762786896410815
Visa_mlimitecompra	0.00257662374932783	0.00715115892227661	0.0101477899611796
mplazo_fijo_dolares	0.00245426909183732	0.0161498546837206	0.00367772253626643
mcuenta_debitos_automaticos	0.0023914344251553	0.00774729891854528	0.0100796839882858
Master_msaldopesos	0.00238623273089975	0.00551613575081783	0.00565279575018729
Visa_cconsumos	0.00237777334236739	0.00472405699630487	0.00953483620513519
Visa_mfinanciacion_limite	0.00230552364762989	0.00574118008928875	0.00953483620513519
ctransferencias_emitidas	0.00203683897296693	0.00562962732191374	0.00612953756044405
mextraccion_autoservicio	0.00202099461834143	0.0084813155005552	0.0128720288769325
Master_status	0.00199174163385364	0.0012511047481015	0.00170264932234557
mtarjeta_visa_debitos_automaticos	0.00191782752042911	0.00530686453139476	0.00858135258462167
Visa_mpagado	0.00176014025517026	0.0093958956764181	0.00790029285568344
Master_mpagospesos	0.00174760220242655	0.0146149945429144	0.0108288496901178
mpagomiscuentas	0.00167800654225617	0.00727824564383199	0.00885377647619696
Master_msaldototal	0.00136305609155545	0.00354794023600087	0.00381393448205408
ctarjeta_debito	0.00130545909792488	0.00560384652541878	0.00599332561465641
ctarjeta_visa_debitos_automaticos	0.00112354290130739	0.00425567612773542	0.00503984199414289
Visa_mpagosdolares	0.000882611070786587	0.00716317989741972	0.00503984199414289
ccaja_seguridad	0.000859655869613499	0.00590195377054068	0.00190696724102704
cpagomiscuentas	0.000785000264710526	0.00274809450439773	0.00429067629231084
cextraccion_autoservicio	0.000618345659801835	0.00388002261488097	0.00660627937070081
ccajas_trx	0.000612254764572964	0.00326065618131686	0.00115780153919499
Master_fultimo_cierre	0.000605030135943015	0.00199367637504366	0.00272423891575291
cseguro_accidentes_personales	0.000597755695320214	0.00290797033721268	0.00217939113260233
Visa_fultimo_cierre	0.000528467857843916	0.00130298392066955	0.00217939113260233
Visa_mconsumosdolares	0.000521874395176949	0.00184087354912961	0.00292855683443438
cmobile_app_trx	0.000480773747396806	0.000914148894954315	0.00163454334945175
Master_mconsumospesos	0.000462577501426383	0.002363072393988	0.00367772253626643
